Артикул;Наименование;Класс элемента;Серия;Номинал, А;Материал;IP;Полюсов;Ширина, мм;Высота, мм;Длина, мм;Масса, кг;Ед. изм.;Активна;Примечание
ШМА-1250-CU-55-4-3000;Секция прямая ШМА 1250 А Cu IP55 4P L=3000;Прямая секция;KLM-S;1250;Cu;55;4;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;3000;ЗАПОЛНИТЬ;шт;да;пример формата строки
TAPP-OFF-125A;Коробка отбора мощности 125 А;Коробка отбора (КОМ);KLM-R;125;—;55;4;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;габарит и масса на сайте не опубликованы
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Прямая секция;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Угол горизонтальный;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Угол вертикальный;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Z-образная (offset) секция;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Тройник;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Крестовина;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Редукция;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Вводная секция;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Торцевая заглушка;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Секция отбора;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Коробка отбора (КОМ);ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Компенсатор;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Дилатационная вставка;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Противопожарная проходка;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Проходка через стену/перекрытие;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;Подвес / кронштейн;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;шт;да;класс из раздела 8.2 ТЗ — нужен хотя бы один типоряд
