Серия;Номинал, А;Материал;Сечение, мм²;Ra 20 °C, Ом/км;Ra 35 °C, Ом/км;Ra 40 °C, Ом/км;X, Ом/км;I_cw (1 с), кА;I_pk, кА;Превышение температуры, К;Масса 4P, кг/м;Масса 5P, кг/м;H, мм;W, мм;Источник
KLM-S;160;Cu;180;0.10158;0.13144;0.134;0.03571;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;18.4;20.5;69;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;250;Cu;180;0.10158;0.13144;0.134;0.03571;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;18.4;20.5;69;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;315;Cu;180;0.10158;0.13144;0.134;0.03571;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;18.4;20.5;69;170;каталог V3 стр. 6 и 7 (IP55)
KLM-S;400;Cu;180;0.10158;0.13144;0.134;0.03571;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;18.4;20.5;69;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;500;Cu;180;0.10158;0.13144;0.134;0.03571;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;18.4;18.4;79;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;630;Cu;240;0.07618;0.09858;0.1005;0.02678;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;20.6;23;79;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;800;Cu;360;0.06182;0.06572;0.067;0.02174;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;20.6;23;99;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;1000;Cu;390;0.04688;0.06066;0.0619;0.01648;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;22.6;25.6;104;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;1250;Cu;480;0.03809;0.04929;0.0503;0.01339;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;25.6;28.6;119;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;1600;Cu;600;0.03047;0.03943;0.0402;0.01071;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;30.9;36.9;139;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;2000;Cu;960;0.01905;0.02464;0.0251;0.0067;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;38.8;46.8;199;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;2500;Cu;1200;0.01524;0.01972;0.0201;0.00536;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;46.6;49.8;239;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;3200;Cu;1560;0.01172;0.01517;0.0155;0.00412;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;62.6;74.8;348;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;4000;Cu;1920;0.00952;0.01232;0.0126;0.00335;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;93.9;114.7;408;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;5000;Cu;2400;0.00762;0.00986;0.0101;0.00268;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;124.6;152.6;488;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;6300;Cu;3600;0.00508;0.00657;0.0067;0.00179;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;156.1;168.1;737;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;160;Al;180;0.16536;0.21397;0.2182;0.05813;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;7.5;8.7;69;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;250;Al;180;0.16536;0.21397;0.2182;0.05813;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;7.5;8.7;69;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;315;Al;180;0.16536;0.21397;0.2182;0.05813;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;7.5;8.7;69;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;400;Al;180;0.16536;0.21397;0.2182;0.05813;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;7.5;8.7;69;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;500;Al;300;0.09921;0.12838;0.1309;0.03488;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;7.5;7.5;79;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;630;Al;300;0.09921;0.12838;0.1309;0.03488;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;9.4;10.9;89;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;800;Al;390;0.0929;0.09876;0.1007;0.03266;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;10.7;12.3;104;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;1000;Al;600;0.04961;0.06419;0.0655;0.01744;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;12.9;13.7;139;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;1250;Al;780;0.03816;0.04938;0.0504;0.01342;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;15.9;18.8;169;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;1600;Al;960;0.031;0.04012;0.0409;0.0109;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;19.4;23.1;199;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;2000;Al;1200;0.0248;0.0321;0.0327;0.00872;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;23.3;27.5;239;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;2500;Al;1560;0.01908;0.02469;0.0252;0.00671;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;33.7;39.3;348;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;3200;Al;1920;0.0155;0.02006;0.0205;0.00545;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;39.5;46.3;408;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;4000;Al;2400;0.0124;0.01605;0.0164;0.00436;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;47.5;55.3;488;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;5000;Al;3120;0.00954;0.01234;0.0126;0.00335;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;67.4;77.3;706;140;каталог V3 стр. 6 и 7 (IP55)
KLM-S;6300;Al;3840;0.00775;0.01003;0.0102;0.00273;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;74.7;90.7;826;140;каталог V3 стр. 6 и 7 (IP55)
