Фактор;Условие;Коэффициент (предложено);Коэффициент (подтверждено КЛМ);Источник предложения
k_t температура;35 °C;1;ЗАПОЛНИТЬ;"отраслевая таблица шинопроводов класса Canalis KS/KTA; отсчёт от 35 °C по ГОСТ Р МЭК 61439-1"
k_t температура;40 °C;0.97;ЗАПОЛНИТЬ;"отраслевая таблица шинопроводов класса Canalis KS/KTA; отсчёт от 35 °C по ГОСТ Р МЭК 61439-1"
k_t температура;45 °C;0.94;ЗАПОЛНИТЬ;"отраслевая таблица шинопроводов класса Canalis KS/KTA; отсчёт от 35 °C по ГОСТ Р МЭК 61439-1"
k_t температура;50 °C;0.9;ЗАПОЛНИТЬ;"отраслевая таблица шинопроводов класса Canalis KS/KTA; отсчёт от 35 °C по ГОСТ Р МЭК 61439-1"
k_t температура;55 °C;0.86;ЗАПОЛНИТЬ;"отраслевая таблица шинопроводов класса Canalis KS/KTA; отсчёт от 35 °C по ГОСТ Р МЭК 61439-1"
k_t температура;выше 55 °C;экстраполяция;ЗАПОЛНИТЬ;нужна граница применимости
k_m способ прокладки;на ребро;1;ЗАПОЛНИТЬ;ТЗ 7.2
k_m способ прокладки;плашмя;0.9;ЗАПОЛНИТЬ;ТЗ 7.2
k_g группировка;1 трасс рядом;1;ЗАПОЛНИТЬ;"ТЗ 7.2; уточнить расстояние между трассами, при котором фактор применяется"
k_g группировка;2 трасс рядом;0.95;ЗАПОЛНИТЬ;"ТЗ 7.2; уточнить расстояние между трассами, при котором фактор применяется"
k_g группировка;3 трасс рядом;0.9;ЗАПОЛНИТЬ;"ТЗ 7.2; уточнить расстояние между трассами, при котором фактор применяется"
k_h высота;выше 2000 м;0.95;ЗАПОЛНИТЬ;ТЗ 7.2
