Параметр;Серия;Ориентация / условие;Значение;Ед.;Статус;Примечание
Стандартная длина прямой секции;KLM-S;—;3000;мм;каталог V3 стр. 8;единственная стандартная длина
Нестандартная секция FE-S, код S1;KLM-S;—;500–999;мм;каталог V3 стр. 5 и 8;изготовление под заказ
Нестандартная секция FE-S, код S2;KLM-S;—;1000–1999;мм;каталог V3 стр. 5 и 8;изготовление под заказ
Нестандартная секция FE-S, код S3;KLM-S;—;2000–2999;мм;каталог V3 стр. 5 и 8;изготовление под заказ
Минимальная изготавливаемая длина секции;KLM-S;—;500;мм;каталог V3 стр. 5;короче завод не делает
Припуск на установку стыка;KLM-S;доборная секция;25;мм;каталог V3 стр. 8;"длина заказа = замеренный зазор между шинами − 25 мм"
Угол горизонтальный CD: плечо L1;KLM-S;левый / правый;435;мм;каталог V3 стр. 9;одинаково на всём ряду 160–6300 А
Угол горизонтальный CD: плечо L2;KLM-S;левый / правый;435;мм;каталог V3 стр. 9;одинаково на всём ряду 160–6300 А
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Al 160–800 А;300;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Al 1000–2000 А;450;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Al 2500 А;600;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Al 3200 А;650;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Al 4000 А;750;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Al 5000 А;950;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Al 6300 А;1100;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Cu 160–1000 А;300;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Cu 1250–2500 А;450;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Cu 3200 А;600;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Cu 4000 А;650;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Cu 5000 А;750;мм;каталог V3 стр. 10;
Угол вертикальный CP: плечи L1 и L2;KLM-S;вверх / вниз, Cu 6300 А;950;мм;каталог V3 стр. 10;
Тройник горизонтальный TD: L1;KLM-S;по номиналу;680–1900;мм;каталог V3 стр. 13;"таблица по номиналам не оцифрована; 4P Al 160 А → 680, 6300 А → 1900"
Тройник горизонтальный TD: L2;KLM-S;—;485;мм;каталог V3 стр. 13;постоянна на всём ряду
Тройник вертикальный TP: L1;KLM-S;по номиналу;500–1380;мм;каталог V3 стр. 14;таблица по номиналам не оцифрована
Z-секция горизонтальная ZD;KLM-S;L1 / L2 / L3;435 / 415 / 435;мм;каталог V3 стр. 11;одинаково на всём ряду
Компенсационная секция CML: длина;KLM-S;—;1500;мм;каталог V3 стр. 21;
Максимальная длина прямого участка между компенсаторами;KLM-S;алюминиевый проводник;30;м;каталог V3 стр. 21;заводская норма, заменяет расчёт по допуску стыка
Максимальная длина прямого участка между компенсаторами;KLM-S;медный проводник;45;м;каталог V3 стр. 21;заводская норма, заменяет расчёт по допуску стыка
Огнестойкая проходка FB: минимальная толщина стены;KLM-S;стена / перекрытие;200;мм;каталог V3 стр. 23;
Огнестойкая проходка FB: предел огнестойкости;KLM-S;—;180;мин;каталог V3 стр. 23;ГОСТ 53310-2009 п. 4.1
Максимальный ток с одного окна отбора;KLM-S;окно секции Pi;630;А;каталог V3 стр. 8;выше — Bolt-on на стык или секция отбора
Секция соединения с другими типами ADP;KLM-S;800 А;130 × 110;мм;каталог V3 стр. 23;A × B
Секция соединения с другими типами ADP;KLM-S;1250 А;188 × 155;мм;каталог V3 стр. 23;A × B
Секция соединения с другими типами ADP;KLM-S;1600 А;215 × 190;мм;каталог V3 стр. 23;A × B
Редукция RE: длина;KLM-S;смена номинала;ЗАПОЛНИТЬ;мм;не в каталоге;"элемент нестандартный, размеры уточняются у производителя"
Вводная секция: длина;KLM-S;кабель / шины трансформатора / НКУ;ЗАПОЛНИТЬ;мм;не в каталоге;"есть габариты ATSC/ATCP/ATCD/ATT на стр. 16–21, но не сведены к длине по трассе"
Торцевая заглушка EC: длина;KLM-S;—;ЗАПОЛНИТЬ;мм;не в каталоге;
Секция отбора: длина;KLM-S;для отвода выше 630 А;ЗАПОЛНИТЬ;мм;не в каталоге;
Шаг окон отбора секции Pi;KLM-S;по умолчанию;500;мм;заказчик 14.08.2026;"проектный параметр, на каждом объекте свой; для Bolt-on шаг равен длине секции 3000 мм"
Шаг подвесов;KLM-S;горизонтально;ЗАПОЛНИТЬ;м;не в каталоге;ТЗ 7.8 ориентир 1,5–3,0 — сейчас в коде 2,5
Шаг подвесов;KLM-S;вертикально;ЗАПОЛНИТЬ;м;не в каталоге;ТЗ 7.8 ориентир 3,0–3,5 — сейчас в коде 3,0
Расчётный перепад температуры шин;KLM-S;—;ЗАПОЛНИТЬ;°C;не в каталоге;ΔT для формулы Δl = α·L·ΔT, сейчас в коде 40
