Артикул;Базовая цена;Минимальная цена;Валюта;Действует с;Ед. изм.;Примечание
ШМА-1250-CU-55-4-3000;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;пример формата
TAPP-OFF-125A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;пример формата
TAPP-OFF-16A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;КОМ 16 А — артикул со страницы каталога
TAPP-OFF-32A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;КОМ 32 А — артикул со страницы каталога
TAPP-OFF-63A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;КОМ 63 А — артикул со страницы каталога
TAPP-OFF-125A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;КОМ 125 А — артикул со страницы каталога
TAPP-OFF-160A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;КОМ 160 А — артикул со страницы каталога
TAPP-OFF-250A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;КОМ 250 А — артикул со страницы каталога
TAPP-OFF-400A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;КОМ 400 А — артикул со страницы каталога
TAPP-OFF-630A;ЗАПОЛНИТЬ;ЗАПОЛНИТЬ;RUB;ЗАПОЛНИТЬ;шт;КОМ 630 А — артикул со страницы каталога
