Блок;Параметр / позиция;Значение / количество;Ед.;Примечание
Исходные данные;Объект;ЗАПОЛНИТЬ;;название, тип (ЦОД / цех / ТЦ / ЖК)
Исходные данные;Мощность нагрузки;ЗАПОЛНИТЬ;кВт;
Исходные данные;cos φ;ЗАПОЛНИТЬ;;
Исходные данные;Коэффициент одновременности Kс;ЗАПОЛНИТЬ;;
Исходные данные;Напряжение;ЗАПОЛНИТЬ;В;
Исходные данные;Температура среды;ЗАПОЛНИТЬ;°C;
Исходные данные;Среда / требуемый IP;ЗАПОЛНИТЬ;;
Исходные данные;Длина трассы;ЗАПОЛНИТЬ;м;
Исходные данные;Геометрия;ЗАПОЛНИТЬ;;число и тип изломов, тройников, точек питания
Исходные данные;Точки отбора;ЗАПОЛНИТЬ;;позиция по трассе (м) и ток каждого отвода
Исходные данные;Пересечения огнестойких границ;ЗАПОЛНИТЬ;шт;
Исходные данные;Деформационные швы;ЗАПОЛНИТЬ;шт;
Результат расчёта;Серия и номинал, выбранные инженером;ЗАПОЛНИТЬ;;чтобы сверить подбор, а не только спецификацию
Результат расчёта;Материал шин;ЗАПОЛНИТЬ;;
Результат расчёта;ΔU по расчёту инженера;ЗАПОЛНИТЬ;%;
Спецификация;<артикул>;ЗАПОЛНИТЬ;шт;по одной строке на позицию — как в реальной выданной спецификации
